method,step,lmax,step_label,function,coarse_pair,fine_pair,h_col,h_coarse,h_fine,E_coarse,E_fine,observed_order
irno,3,24,corrected_lmax24,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0004843639476319036,0.00020526643384414183,1.2385937554908388
irno,3,24,corrected_lmax24,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00020526643384414183,0.00022304404093126694,-0.11983087384370808
irno,3,24,corrected_lmax24,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005606994009136614,0.0002428961867222491,1.2068876873572827
irno,3,24,corrected_lmax24,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0002428961867222491,0.00022672574385679443,0.09939162799834049
irno,3,24,corrected_lmax24,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016919408772464182,0.0006238093425912851,1.439502091403743
irno,3,24,corrected_lmax24,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006238093425912851,0.0003768775982371266,0.7270091165008312
irno,3,24,corrected_lmax24,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0016910120073048705,0.0006372972034264702,1.4078486688002336
irno,3,24,corrected_lmax24,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0006372972034264702,0.00040112678076275265,0.6679080407376997
irno,3,24,corrected_lmax24,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0019456165083278148,0.0008655912644362083,1.1684695303996726
irno,3,24,corrected_lmax24,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0008655912644362083,0.0004451106335125041,0.9595219729304447
tempest,-1,-1,tempest,smooth1,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0005323142161822385,0.00025162123618519753,1.0810244088237735
tempest,-1,-1,tempest,smooth1,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00025162123618519753,0.00012453749469437255,1.0146735250072505
tempest,-1,-1,tempest,smooth2,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0006217600354598308,0.00031668958470406754,0.9732884675633862
tempest,-1,-1,tempest,smooth2,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.00031668958470406754,0.00015787221928099636,1.0043120977587496
tempest,-1,-1,tempest,x,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018555148865448668,0.000920066681116193,1.0120092473580549
tempest,-1,-1,tempest,x,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.000920066681116193,0.0004586506797544275,1.00434264523302
tempest,-1,-1,tempest,y,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.0018555148865448728,0.0009200666811161891,1.0120092473580657
tempest,-1,-1,tempest,y,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0009200666811161891,0.00045865067975444024,1.0043426452329738
tempest,-1,-1,tempest,z,RLL-r90-180_to_CS-r32,RLL-r180-360_to_CS-r64,h_max,0.04522507840989173,0.022612539204945863,0.002108774942306092,0.0010254778653669438,1.0401087806036424
tempest,-1,-1,tempest,z,RLL-r180-360_to_CS-r64,RLL-r360-720_to_CS-r128,h_max,0.022612539204945863,0.011306269602471148,0.0010254778653669438,0.0005046265107820798,1.0230084459579893
